,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_011701,5196.78,5094.193,4663.203,4669.645,4644.704,5064.48,4349.993,4725.36,3122.923,3084.178,3010.277,3012.333,5096.226,3516.731,4866.063,3546.252,3983.071,3780.11,3323.537,2983.875
NM_007591,1613.195,1670.67,1430.876,1549.126,1481.63,1304.555,1327.634,1118.931,2347.967,2144.806,2197.853,1971.931,1322.043,1087.946,1193.945,1013.645,2263.732,1790.566,1930.655,1607.386
NM_001290421,688.254,648.641,630.275,582.312,738.834,705.494,680.524,694.253,911.426,744.48,887.232,713.223,660.269,610.204,668.712,560.773,804.523,807.381,760.201,689.033
NM_009790,739.831,656.58,699.27,596.354,738.852,691.544,683.854,626.455,931.363,958.176,864.907,811.3,565.018,439.56,562.839,406.988,1015.808,873.637,943.532,772.208
NM_007408,599.465,649.001,474.674,532.131,723.121,622.311,550.353,521.051,405.106,439.711,334.863,356.586,620.583,545.374,498.039,491.461,223.744,194.77,178.362,162.521
NM_026545,566.438,589.445,617.278,623.382,611.571,589.585,568.961,567.663,387.417,365.508,388.238,351.231,715.3,697.947,637.74,694.759,274.468,275.368,242.156,249.666
NM_001033293,634.12,557.544,532.529,503.733,577.105,555.481,490.953,500.812,406.768,344.511,343.869,305.286,575.304,634.708,446.909,562.656,147.75,133.976,130.963,120.543
NM_008197,583.179,401.194,467.247,362.226,443.259,447.896,366.79,401.348,76.009,147.926,57.343,115.207,324.91,230.067,267.547,244.508,224.933,342.525,189.457,299.589
NM_011528,406.781,329.684,345.399,289.205,470.486,398.801,376.641,326.106,255.996,253.383,236.597,199.544,456.46,487.032,346.656,445.259,252.811,212.539,215.177,173.6
NM_021460,329.61,388.621,300.906,350.467,389.984,427.209,330.79,345.929,241.522,207.485,200.968,184.299,483.641,549.509,431.136,470.952,258.12,227.12,207.843,183.868
NM_175015,357.787,378.003,323.3,350.124,378.181,387.915,318.546,342.594,393.829,434.348,389.244,409.51,292.392,302.006,222.56,276.311,459.7,458.25,442.17,410.971
NM_001206391,468.749,515.975,412.321,462.267,363.7,382.595,323.198,355.272,257.552,209.283,225.012,206.773,409.001,431.917,374.319,393.274,13.087,16.445,14.136,13.83
NM_175103,367.505,306.394,287.948,265.682,384.147,333.826,301.132,223.225,531.543,589.96,442.915,491.017,332.152,360.923,263.343,299.118,560.28,371.172,459.423,341.988
NM_001329871,395.497,425.04,361.899,368.123,348.722,357.359,307.555,301.343,269.089,254.603,267.473,227.359,503.787,423.53,413.777,376.695,223.982,213.49,185.771,184.859
NM_001286037,328.728,258.152,348.24,234.958,327.705,263.765,371.693,254.394,517.13,448.19,499.544,441.599,322.944,235.853,325.675,214.707,515.239,541.782,551.061,467.98
NM_010398,505.948,370.2,399.145,325.583,295.816,258.088,247.147,212.641,217.168,219.911,182.055,211.128,452.63,615.601,366.258,520.325,103.122,85.747,92.412,79.395
NM_010764,307.97,362.556,272.547,317.365,245.192,240.203,211.203,199.994,241.653,204.067,206.891,206.533,448.758,329.309,401.742,291.35,107.512,112.743,93.026,91.414
NM_009391,206.598,120.704,172.241,108.932,292.941,180.615,254.361,150.382,156.499,171.872,151.725,151.89,271.736,268.582,245.441,241,153.631,84.469,143.836,78.177
NM_008533,174.648,212.412,181.515,223.398,202.974,228.056,177.673,217.001,200.173,160.608,171.074,147.986,219.693,217.933,215.175,210.198,158.554,121.482,131.006,108.635
NM_001302260,202.404,206.623,219.622,217.764,186.093,235.192,194.054,250.66,73.322,73.86,69.627,82.075,170.811,151.318,175.22,153.011,127.959,102.09,144.285,122.637
NM_011977,186.202,183.28,160.678,157.408,195.503,200.081,170.002,179.201,148.789,132.401,125.845,133.42,225.781,210.639,194.351,181.012,106.53,103.34,84.987,87.946
NM_013535,196.946,188.828,162.258,153.857,178.461,214.107,145.735,178.918,75.152,95.625,76.858,75.029,174.128,116.934,132.338,94.202,103.655,146.027,87.252,111.908
NM_013545,161.291,160.752,135.493,141.094,189.024,197.545,158.537,175.678,341.159,308.855,290.018,282.877,226.552,178.351,189.051,158.896,346.116,323.78,286.269,278.103
NM_013463,213.926,225.78,195.787,211.771,157.36,170.101,134.485,141.448,141.993,115.155,112.998,111.763,230.603,286.527,200.913,252,42.609,43.828,35.608,40.156
NM_027109,165.986,139.341,146.689,129.733,151.957,148.13,124.716,122.197,100.464,120.243,79.831,100.514,168.322,145.629,148.75,126.472,69.549,76.946,59.58,66.782
NM_001287389,73.379,129.639,68.338,106.288,112.297,167.981,94.839,131.955,15.574,14.774,11.667,17.893,94.247,146.681,87.92,115.647,52.497,71.222,41.136,54.542
NM_001285423,119.732,129,121.239,122.887,131.999,147.741,113.275,132.353,93.797,85.794,91.574,69.116,107.844,199.637,102.602,194.879,66.556,49.849,57.854,43.833
NM_019760,150.176,167.544,141.963,151.666,118.66,153.944,115.243,132.599,126.605,125.589,116.891,113.565,141.706,190.33,141.389,165.296,86.004,95.584,81.016,84.874
NM_198025,143.109,144.977,108.243,140.298,148.399,117.298,138.565,108.504,63.07,66.638,58.258,69.838,133.816,134.376,127.683,115.367,67.555,61.535,58.833,56.511
NM_175491,103.261,126.907,109.141,128.643,122.34,138.53,116.796,125.605,77.708,77.797,82.579,96.971,120.745,162.241,120.165,140.042,91.91,94.055,71.721,74.119
NM_001271523,99.228,57.373,76.67,42.287,138.588,119.043,124.428,105.336,30.601,34.305,25.213,28.9,196.433,71.2,162.262,63.538,39.261,49.655,35.964,35.446
NM_001324533,1.661,2.194,1.231,2.038,142.198,106.953,124.475,90.321,1.27,3.471,0.558,2.222,151.527,111.107,113.743,99.718,3.715,1.539,8.319,3.899
NM_133807,112.604,113.779,101.645,111.179,129.087,114.805,124.547,109.496,185.494,179.902,180.96,170.112,147.084,163.936,127.347,155.428,189.654,156.252,167.793,138.265
NM_011715,120.512,144.198,111.284,129.739,115.961,126.123,107.992,117.927,175.984,151.903,153.03,144.633,123.919,104.51,120.95,101.23,193.893,212.972,171.611,173.169
NM_001347415,111.569,122.377,107.969,126.215,113.599,125.309,104.34,124.164,100.918,93.02,86.304,105.928,114.374,118.237,123.546,134.817,91.263,92.885,92.36,85.788
NM_025836,153.978,148.926,119.75,132.824,117.652,119.268,97.146,106.05,67.822,80.268,52.633,64.737,162.578,150.777,127.846,125.598,62.323,58.123,51.873,52.72
NM_025813,105.056,111.44,102.571,103.646,108.576,124.846,99.562,109.901,87.28,95.383,82.609,84.331,140.845,158.851,123.638,139.802,65.812,61.198,54.976,53.545
NM_001199283,74.006,104.005,60.661,89.059,104.824,121.086,85.728,96.778,70.035,54.982,56.451,55.348,129.17,155.201,108.651,126.484,52.102,76.149,44.739,58.912
NM_008879,103.526,105.972,109.686,105.106,115.269,110.358,124.058,112.306,204.236,173.556,210.582,171.67,121.204,79.516,133.509,84.202,216.615,246.2,216.884,235.509
NM_001316674,114.882,153.573,103.359,138.63,96.514,126.144,84.827,107.651,91.948,83.58,81.118,75.411,101.273,151.501,91.692,130.821,52.993,66.619,46.374,57.543
NM_026960,97.205,98.906,89.843,78.584,111.331,106.849,95.126,85.655,143.29,136.01,119.775,134.363,119.655,107.401,94.73,99.859,152.006,127.78,146.063,125.844
