	TCGA-02-0047-01	TCGA-02-0055-01	TCGA-02-2483-01	TCGA-02-2485-01	TCGA-02-2486-01	TCGA-06-0125-01	TCGA-06-0125-02	TCGA-06-0129-01	TCGA-06-0130-01	TCGA-06-0132-01	TCGA-06-0138-01	TCGA-06-0141-01	TCGA-06-0152-02	TCGA-06-0156-01	TCGA-06-0157-01	TCGA-06-0158-01	TCGA-06-0168-01	TCGA-06-0171-02	TCGA-06-0174-01	TCGA-06-0178-01	TCGA-06-0184-01	TCGA-06-0187-01	TCGA-06-0190-01	TCGA-06-0190-02	TCGA-06-0210-01	TCGA-06-0210-02	TCGA-06-0211-01	TCGA-06-0211-02	TCGA-06-0219-01	TCGA-06-0221-02	TCGA-06-0238-01	TCGA-06-0644-01	TCGA-06-0645-01	TCGA-06-0646-01	TCGA-06-0649-01	TCGA-06-0686-01	TCGA-06-0743-01	TCGA-06-0744-01	TCGA-06-0745-01	TCGA-06-0747-01	TCGA-06-0749-01	TCGA-06-0750-01	TCGA-06-0878-01	TCGA-06-0882-01	TCGA-06-1804-01	TCGA-06-2557-01	TCGA-06-2558-01	TCGA-06-2559-01	TCGA-06-2561-01	TCGA-06-2562-01	TCGA-06-2563-01	TCGA-06-2564-01	TCGA-06-2565-01	TCGA-06-2567-01	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5408-01	TCGA-06-5410-01	TCGA-06-5411-01	TCGA-06-5412-01	TCGA-06-5413-01	TCGA-06-5414-01	TCGA-06-5415-01	TCGA-06-5416-01	TCGA-06-5417-01	TCGA-06-5418-01	TCGA-06-5856-01	TCGA-06-5858-01	TCGA-06-5859-01	TCGA-08-0386-01	TCGA-12-0616-01	TCGA-12-0618-01	TCGA-12-0619-01	TCGA-12-0821-01	TCGA-12-1597-01	TCGA-12-3650-01	TCGA-12-3652-01	TCGA-12-3653-01	TCGA-12-5295-01	TCGA-12-5299-01	TCGA-14-0736-02	TCGA-14-0781-01	TCGA-14-0787-01	TCGA-14-0789-01	TCGA-14-0790-01	TCGA-14-0817-01	TCGA-14-0871-01	TCGA-14-1034-01	TCGA-14-1034-02	TCGA-14-1402-02	TCGA-14-1823-01	TCGA-14-1825-01	TCGA-14-1829-01	TCGA-14-2554-01	TCGA-15-0742-01	TCGA-15-1444-01	TCGA-16-0846-01	TCGA-16-1045-01	TCGA-19-0957-02	TCGA-19-1389-02	TCGA-19-1390-01	TCGA-19-1787-01	TCGA-19-2619-01	TCGA-19-2620-01	TCGA-19-2624-01	TCGA-19-2625-01	TCGA-19-2629-01	TCGA-19-4065-01	TCGA-19-4065-02	TCGA-19-5960-01	TCGA-26-1442-01	TCGA-26-5132-01	TCGA-26-5133-01	TCGA-26-5134-01	TCGA-26-5135-01	TCGA-26-5136-01	TCGA-26-5139-01	TCGA-27-1830-01	TCGA-27-1831-01	TCGA-27-1832-01	TCGA-27-1834-01	TCGA-27-1835-01	TCGA-27-1837-01	TCGA-27-2519-01	TCGA-27-2521-01	TCGA-27-2523-01	TCGA-27-2524-01	TCGA-27-2526-01	TCGA-27-2528-01	TCGA-28-1747-01	TCGA-28-1753-01	TCGA-28-2499-01	TCGA-28-2509-01	TCGA-28-2510-01	TCGA-28-2513-01	TCGA-28-2514-01	TCGA-28-5204-01	TCGA-28-5207-01	TCGA-28-5208-01	TCGA-28-5209-01	TCGA-28-5213-01	TCGA-28-5215-01	TCGA-28-5216-01	TCGA-28-5218-01	TCGA-28-5220-01	TCGA-32-1970-01	TCGA-32-1980-01	TCGA-32-1982-01	TCGA-32-2615-01	TCGA-32-2616-01	TCGA-32-2632-01	TCGA-32-2634-01	TCGA-32-2638-01	TCGA-32-4213-01	TCGA-32-5222-01	TCGA-41-2571-01	TCGA-41-2572-01	TCGA-41-3915-01	TCGA-41-4097-01	TCGA-41-5651-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-76-4927-01	TCGA-76-4928-01	TCGA-76-4929-01	TCGA-76-4931-01	TCGA-76-4932-01	TCGA-06-0675-11	TCGA-06-0678-11	TCGA-06-0680-11	TCGA-06-0681-11	TCGA-06-AABW-11
ACSL4	1074.4	3535.25	691.926	585.714	1221.95	615.604	1104.29	1171.87	2348.63	1927.02	700.76	1810.57	897.171000000001	1063.1	541.39	930.970000000001	821.101000000001	1893.24	844.68	841.053	1115.74	643.37	972.019	2471.75	754.114	852.356	819.255	965.848	835.1	1121.8	1181.66	1448.67	1179.82	834.875	1132.31	438.402	471.648	441.256	438.269	619.399	746.871	619.288	856.418	1009.5	998.273	794.102	1072.22	818.993	1099.72	974.922	484.72	769.33	576.531	766.337	334.631	774.742	623.744	2048.07	1222.38	1435.08	1050.8	743.037	662.386	1379	856.87	783.143	768.222	1131.27	939.053	841.576	658.484	1310.29	1697.22	604.613	816.768	626.712	682.519	630.167	1061.82	673.653	1757.61	1107.59	452.83	1053.7	342.662	1016.02	252.396	871.586	681.939	1110.01	2381.1	545.15	1831.84	1897.3	316.842	1161.78	668.195	1327.73	779.716	1453.31	629.694	1229.54	508.306	968.865	474.059	473.241	1045.99	1497.57	2178.46	447.96	1092.29	545.081	665.663	827.869	503.798	867.27	748.029	878.125	1770.17	953.822	957.895	374.414	490.012	1130.25	439.696	490.462	865.998	751.124	570.205	830.585	734.191	895.942	957.414999999999	1116.29	1732.96	1174.85	495.773	993.115	906.609	517.364	1660.76	997.934000000001	773.367	2724.02	903.945	500	1042	767.216	735.637	507.371	855.485	748.551	819.576	1081.12	1164.91	537.582	680.352	1055.34	1114.35	830.718	475.782	692.561	547.791	1050.39	769.403	608.471	440.796	2568.16	2188.01	2721.25	2013.25	999.999999999999
ALOX15	1.8439	0	0.4222	0	0.6098	0	0.5202	1.6482	1.0315	0	1.3822	0	10.0658	3.8104	0	0.8808	0	1.8328	15.6329	56.8903	0	0	0.5513	0.5543	0	0	0.4541	0.5336	0	2.005	84.7751	0.4643	2.091	0	3.2389	14.4284	1.0599	3.7807	0.4243	0.4538	1.1377	1.0913	0	0	5.0674	0.4153	19.1919	1.0493	0	0.8957	0.472	0	0	0.425	2.3599	0	0.4417	3.0683	0.4604	0.5299	10.3481	0	0	0	1.9084	0	9.6268	2.2789	0	0.4569	0	0.7855	0.912	1.8924	0.6761	0	0	0	0	6.4157	0	0	1.4514	1.2634	0.6826	2.2679	3.1949	1.2072	0.664	0.7097	0	1.6722	0	1.4465	0.5263	2.2533	1.7192	3.7383	1.0905	0.604	15.8746	0	0.4153	0	1.6503	1.0243	0.8325	0.9502	0	0	0.5244	0	0	0	0	0	1.1334	11.4583	4.1263	20.3229	9.4183	0.6698	0	0.5382	1.3217	0	0	0.5618	0	0.4886	1.0718	0.5022	0	2.8785	0	0.4607	0	1.0801	0	0.8905	0	5.1706	2.0921	0	0	0	0.5305	0	0.8639	0	0.5526	11.3993	0.7862	0	0	10.5986	0	6.5876	1.5349	0.6095	0	2.8249	0	0	0.5583	0	0.4975	0.8997	0.9331	1.1837	0.4274	1.5075
ATP5G3	2447.52	3839.66	4227.55	2815.71	2260.98	2700.75	2297.01	2158.72	2775.14	4913.75	4937.11	6763.35	1719.94	3076.63	1816.07	2372.78	3236.24	1868.04	3119.01	11823.2	6307.01	3082.33	3520.88	3607.01	3866.89	2847.01	3114.44	3890.07	3848.64	2056.64	5158.59	4848.87	3552.54	2737.93	3284.86	3438.4	3665.61	5078.5	5518.03	247.76	4748.58	4667.85	3425.67	3632.05	1018.08	2034.26	3450.51	2535.15	3815.77	2086.88	4053.81	2283.19	2756.8	2645.84	3245.78	2632.18	3838.76	4368.7	5855.43	5064.12	4989.18	3342.09	3099.32	4370.07	2793.89	3776.26	4707.04	2059.25	3830.2	2994.4	5233.93	1580.52	2497.49	4443.29	4975.66	5017.98	10281.5	4060.19	3959.43	3619.33	11724.9	2484.38	2026.12	2604.55	3918.09	8014.74	4974.44	1460.09	1067.07	7393.9	4759.19	3560.2	10840.1	3824.49	3774.21	2356.92	2981.66	3728.97	2121.05	2889.71	1534.95	3885.87	2960.13	1954.21	1478.29	4046.62	2149.01	4656.13	3267.37	1337.46	2589.41	2651.82	4101.83	1602.46	2855.7	2907.99	3417.7	1254.69	9772.63999999999	3161.79	1493.07	4125.92	2576.97	3010.76	3773.54	3643.66	7801.17	6860.67	4132.79	1863.93	2124.33	8426.07	3024.05	3204.38	3458.75	3688.58	4241.45	2889.16	4046.93	3475.07	5891.01	2627.55	2721.78	4603.19	5934.82	2421.16	4078.32	5079.85	2575.38	3083.96	3590.49	3572.15	1786.16	5146.85	5953.75	2093.8	6793.15	2659.42	4519.57	2715.83	2210.89	3029.66	3553.41	1654.69	1845.9	2455.53	4177.61	3060.74	2978.77	3023.48	3192.31	2134.67
CARS	704.385	1466.57	877.678	1608.09	2132.92	1290.67	1523.02	815.444	1367.71	1085.04	1185.9	1154.52	2060.86	1216.06	749.728	1185.07	926.606	1275.6	1619.24	1326.16	979.387	1712.96	1608.26	1635.82	1533.88	1100.03	1843.77	1525.08	1345.29	701.754	1242.21	1703.12	1636.16	1432.92	914.656	1124.31	1998.41	2106.9	1359.35	1233.35	1221.27	1863.32	1815.64	1256.83	650.006	765.021	789.384	1683.55	1466.48	1556.65	1460.29	1557.03	2116.01	910.849	510.674	762.589	1206.41	1492.69	1363.26	1195.54	1287.86	2464.1	1254.84	2401.34	580.153	1767.27	937.168	1530.53	2260.5	1395.77	1544.38	1304.79	1014.14	1448.12	1022.31	1464.03	1630.46	1069.62	1361.88	1932.42	1131.91	1157.66	1809.14	1738.46	1177.47	1321.56	402.556	1042.4	1624.83	1385.38	1300.83	1222.41	1422.58	1476.35	1387.36	583.596	1595.96	995.639	1507.61	1469.62	1388	1164.94	1650.75	1164.83	1397.83	1256.34	1457.22	1515.13	1682.91	657.038	991.61	2163.34	1565.58	991.803	1665.81	989.442	2092.2	1139.57	1012.59	1352.15	1332.95	1292.02	1823.72	1477.92	1661.41	1563.42	2330.87	2351.11	1643.97	1560.52	1147.91	1028.02	1599.19	1284.97	1537.21	1990.77	2435.06	912.11	1602.01	1983.52	1222.07	1374.09	1414.24	869.341	945.683	1344.76	1244.66	1035.91	1181.86	1992.69	825.642	1165.38	1509.82	1095.1	1307.19	1605.09	1551.69	985.487	1090.52	1052.57	1609.07	1197.74	1488.35	1539	1211.06	1501.61	1256.21	1259.12	1446.69	1339.51	1334.62	1336.68
CDKN1A	2370.08	4226.49	1227.23	1529.52	9792.68	2446.12	3649.93	3052.87	5417.74	3562.73	2595.72	2729.47	2826.75	1399.51	4521.57	1872.51	5777.52	10296.9	1451.84	1459.93	9191.76	1592.05	12037.5	3167.99	3546.95	1916.46	1683.47	4900.21	4594.36	434.085	1505.19	6342.58	6685.83	3849.76	1116.11	3127.64	1449.92	1047.78	7307.59	3087.46	2699.66	6844.91	6163.45	3979.35	1349.3	3649.88	1383.84	1475.34	2552.11	4835.2	6720	6059.42	4841.84	3113.8	298.289	1816.64	4870.24	4090	3525.32	7797.56	3084.2	2386.43	1627.85	535.369	727.099	8824.01000000001	1699.14	972.653	4292.37	971.788	2252.93	1247.05	6995.9	1821.41	5932.39	5220.89	5883.03	4594.63	6954.28	4366.12	3593.01	9631.14	3153.85	3706.89	1015.7	1797.87	217.252	1449.83	1329.35	2981.55	3422.36	578.595	3472.55	2423.34	2949.47	1300.59	1812.03	2107.17	2316.79	31149.6	740.001999999999	2557.71	3727.57	2972.53	3632.39	5024.85	1957.13	2523.82	5163.4	266.85	498.689	4850.54	1301.23	2637.3	3191.14	947.21	4151.56	1959.9	5802.35	5099.7	2234.35	605.492	5143.36	1841.77	562.177	5974.83	6380.6	1837.08	4261.3	2085.26	3107.18	3934.31	1534.57	2194.01	6248.55	2537.22	3270.31	2138.52	1525.86	2349.07	2653.95	1766.64	2282.44	1899.15	515.152	1059.26	2484.02	3917.19	3061.77	3888.62	12591.9	3039.8	3105.35	11609.8	7074.91	3054.74	5190.81	1910.41	3251.73	753.923	2447.06	2197.74	3522.89	6552.15	1984.92	3527.06	5898.01	524.069	2847.21	470.704	1001.28	529.648
CISD1	538.431	585.844	701.636	373.333	606.707	210.226	297.529	322.222	488.912	756.936	584.658	755.133999999999	343.551	353.279	394.441	268.193	383.027	302.864	469.995	1448.4	649.828	229.235	349.552	401.334	263.795	298.203	308.81	453.042	1091.5	443.108	637.255	419.279	462.101	376.798	393.846	472.808	339.163	393.728	640.221	332.615	672.355	530.896	316.917	502.64	273.178	246.703	500.505	386.149	457.465	391.849	580.531	283.648	373.724	302.2	293.097	695.082	356.046	545.129	1026.24	721.781	575.729	395.449	432.363	1052.12	746.183	361.298	664.252	315.861	555.766	293.775	399.673	380.204	288.19	354.346	555.105	513.699	847.686	246.555	491.951	341.317	994.363	454.636	363.57	453.569	389.079	747.271	127.796	298.174	337.981	852.378	606.902	346.154	1155.57	484.089	277.895	415.502	547.278	401.869	421.483	317.724	448.153	463.824	318.937	356.227	314.801	355.443	400	717.425	612.146	254.929	947.562	263.827	575.37	288.934	484.177	274.51	386.482	361.979	618.94	369.425	288.643	383.121	290.247	331.001	560.414	626.942	650.996	665.73	441.219	243.801	291.533	520.792	409.319	782.959	473.221	554.715	317.075	378.561	356.801	242.208	542.234	390.814	513.951	308.039	526.587	317.826	1086.03	539.079	314.471	525.032	233.766	356.417	378.145	432.168	534.439	393.324	495.467	405.797	377.59	457.108	333.476	393.126	416.868	294.478	354.55	279.059	321.393	1119.66	863.074	1136.71	1080.77	539.196
CS	3200.47	2136.51	4875.15	3829.05	3435.37	3832.96	2940.96	2439.33	2749.36	3062.73	2993.78	3603.7	3709.04	2459.34	5204.59	3494.44	3291.28	2564.95	3970.25	4388.24	3114.27	3203.24	3043.97	3187.39	2774.44	2950.95	3187.1	2910.35	3622.9	3834.59	3483.28	2811.91	3262.42	3507.58	2861.21	3530.52	3023.32	4019.37	3159.1	3578.45	2794.65	2990.04	3411.89	2199.69	2336.06	3110.79	3489.9	3874.61	4611.83	2982.53	4444.6	3694.22	2997.45	3277.87	6205.07	4106.86	3563.11	2657.12	2668.05	2903.02	2979.3	3056.49	3718.32	3236.78	3597.33	2992.62	3840.15	3213.76	2901.39	3142.89	3740.46	4062.45	2723.67	3201.42	3317.11	3212.33	2478.79	3947.06	3495.17	2640.72	1925.59	2410.01	3373.73	3438.41	4273.72	2334.23	3738.02	2925.61	2430.28	2517.39	3091.52	3215.72	1734.82	2799.42	3752.63	3475.89	3267.62	3358.26	2067.07	3151.26	3621.45	5041.77	3410.71	3054.03	2109.95	3203.08	4423.73	2620.26	3242.11	1806.97	4177.24	1718.02	4831.2	2665.98	3097.47	1588.24	2814.74	3625	1402.93	2479.85	3211.08	3887.47	3158.64	2990.85	4044.06	3145.72	2983.08	2328.65	3864.35	3165.02	3364.42	4114.1	2905.81	3125.5	2317.17	3706.09	3797.44	3015.53	2699.71	3231.52	1948.23	3459.16	3189	3589.5	2256.15	3291.87	3663.96	3143.22	3111.02	3842.26	3337.39	3747.32	2902.91	2808.39	3283.56	1865.93	3497.56	2584.98	4838.07	2298.95	3881.7	2835.22	3340.56	2619.19	3036.85	3387.29	3265.67	4009.91	3291.81	3891.1	3476.5	2374.87
DPP4	19.6687	400.28	41.7942	121.429	114.024	424.934	460.858	4.1205	821.558	85.0422	64.2709	743.327	59.082	83.2846	115.529	35.671	29.8165	362.428	155.32	37.6706	1520.84	58.4423	2318.95	1670.75	218.78	28.169	171.208	76.3074	102.43	17.5439	58.8235	1780.66	226.346	74.7574	70.6073	28.8568	37.6259	13.5023	76.3683	51.73	83.0489	122.766	634.894	57.7262	35.9323	598.899	31.8182	384.575	127.324	97.1787	271.386	174.429	33.1633	82.4567	57.5811	149.605	138.708	132.958	105.893	1134.61	75.2587	39.2311	72.2032	145.197	11.4504	144.42	658.476	200.091	8.468	84.5231	16.1227	48.7038	1048.34	43.9976	265.044	267.979	591.902	158.086	23.8249	93.2421	252.537	62.469	9.434	1746.68	980.887	319.206	25.5591	159.952	93.6255	76.6501	222.055	10.0334	230.531	88.2353	15.7895	33.3484	13.7536	655.452	139.586	292.354	153.455	37.4677	14.1196	149.267	27.6431	183.867	4.9948	1096.57	58.9474	33.4709	14.6827	47.4404	5.5179	20.4918	57.5949	39.2157	122.971	73.4375	212.09	249.746	8.8643	245.144	11.7509	79.1173	5.7275	49.5575	335.978	20.2247	123.275	41.5293	422.294	153.174	196.393	73.1146	613.457	379.178	16.4262	38.3421	485.632	372.663	162.125	33.1783	25.1048	188.175	9.7198	557.297	59.4213	302.493	72.1382	65.1231	728.378	87.3943	450.865	83.9161	848.668	73.0123	334.379	66.5349	59.0944	42.6634	27.8611	36.7232	136.546	810.254	28.4757	10.8235	195.025	19.3433	21.4602	32.3535	17.9487	23.6181
FANCD2	229.263	188.367	504.063	527.619	58.5366	479.12	123.797	1195.35	347.602	56.0917	526.607	238.193	550.994	714.723	711.057	337.334	201.835	114.089	596.067	535.845	121.138	294.731	263.542	243.905	176.67	281.204	485.922	336.713	570.869	708.772	426.182	393.277	196.55	520.292	410.688	715.871	276.1	446.657	507.425	353.035	88.1684	141.863	220.464	89.6398	239.548	551.552	454.546	655.299	210.704	172.414	358.702	374.863	282.738	354.479	591.858	405.1	331.75	128.867	258.287	193.429	586.077	195.371	359.583	257.632	387.405	186.604	502.04	349.134	232.646	289.206	627.087	480.361	376.197	421.526	290.737	690.925	254.499	387.962	249.195	261.762	69.8985	104.611	522.489	63.8029	307.85	497.803	805.112	321.111	435.591	313.698	165.791	1523.41	345.067	149.952	448.947	201.442	159.312	161.371	287.35	77.9208	1267.12	355.297	463.04	147.436	937.39	151.601	386.68	356.812	487.773	598.808	94.3891	412.441	425.884	651.639	284.177	515.837	187.007	336.458	523.21	367.158	191.69	470.194	387.779	207.75	424.716	501.082	361.132	190.449	413.137	353.731	576.635	89.3933	322.144	254.462	113.979	315.137	463.418	452.005	459.291	409.172	125.341	438.212	341.704	199.768	280.16	288.443	93.9069	192.649	277.322	334.078	244.819	491.688	189.465	179.021	330.82	336.21	248.344	355.725	172.678	825.232	659.661	278.249	342.169	258.545	148.52	544.941	308.955	29.6897	25.659	32.7481	26.0684	34.1709
FDFT1	2413.72	3438.26	1874.83	1934.76	1301.83	1821.14	902.991	2332.19	1670.96	3160.43	1903.25	2088.3	1986.47	1277.57	1664.77	1612.68	1582.57	1315.46	2503.28	3939.27	2455.62	3823.44	2337.15	1617.53	1121.97	1590.09	1710.26	1345.25	4831.84	1557.39	5686.85	3828.76	1140.09	1897.03	1243.08	4749.17	1811.87	2053.97	1625.37	1434.37	2406.14	2259.99	1656.66	1993.66	1551.54	1467.76	2597.47	2344.18	1930.14	1966.41	2119.17	1217.81	1184.1	1500.37	5851.56	2424.29	2684.48	2203.02	3074.59	1613.14	2896.52	2377.8	1853.88	3095.31	5343.51	1989.12	2476.5	1999.09	3355.1	4926.56	4124.86	2102.51	1839.49	1334.12	3543.61	2688.36	4674.81	2870.2	2361.88	1878.96	2282.98	1346.55	2074.02	894.504	1597.95	2832.6	1559.11	1569.94	746.348	3119.94	1438.86	8795.99	3515.59	1879.94	2360	3029.74	2703.15	2059.81	2524.54	1882.78	3169.63	2261.41	3546.51	2152.93	3072.51	1565.69	3620.4	1545.08	1723.72	1208.16	2952.28	1855.02	3013.29	1745.9	1284.81	2460.03	1477.92	1836.98	2174.54	2303.71	3181.72	1160.08	3146.89	1445.1	2617.91	2259.98	1242.7	2584.27	2545.45	2820.57	1623.79	1670.85	2294.09	3559.01	1228.11	1631.9	1750.14	2104.5	1645.59	1695.46	1461.85	3571.19	2891.23	2152.41	4606.63	2353.09	2068.07	1520.91	1904.54	1852.14	1724.23	1549.16	1494.5	1860.14	2749.62	2226.87	3210.77	1207.51	2081.35	2731.07	2101.16	2133.24	1309.24	2075.37	2359.02	2833.41	2727.36	3224.04	2811.76	3103.57	2044.87	3694.47
GLS2	41.796	34.1976	5.9103	21.4286	12.8049	14.2595	44.7334	18.9542	11.3461	188.179	21.4236	18.4805	44.2021	16.8747	20.3021	20.2576	71.1009	30.6987	5.0429	20.7573	5.8852	4.0305	17.0917	1.1087	12.5847	4.3711	4.9955	8.0043	119.393	216.541	65.7439	6.5004	17.7731	26.0898	21.3765	47.7248	9.009	29.7051	18.6678	38.1168	134.812	13.6407	10.5992	57.7262	35.0109	19.9356	47.4747	18.8877	73.8028	69.8612	45.7817	14.4024	19.983	14.8762	7.5516	27.6867	17.2281	21.9893	372.007	21.1977	14.5814	4.7077	61.3584	17.1258	1.9084	12.9035	28.8805	2.7347	6.6852	29.2404	5.0914	51.0605	37.8477	33.1165	45.977	17.9795	9.6401	11.6026	0.6439	14.9701	219.842	14.3778	26.1248	5.6854	6.8259	28.9157	6.3898	3.6215	39.8406	86.5862	15.7539	6.689	18.9677	37.6085	14.7368	2.7039	74.4986	18.6916	17.4482	70.6723	8.5479	5.5986	10.7973	25.641	32.5941	19.9744	7.4922	15.2037	175.547	57.3132	68.1699	4.3568	2.5082	30.7377	7.5949	7.5415	16.434	15.625	6.602	32.065	10.5263	10.0469	31.7274	9.6878	5.2869	8.6529	20.9612	12.3596	16.1828	21.9861	7.5027	32.6436	2.505	375.36	7.7577	92.1454	9.9553	73.9841	5.2682	4.0071	9.5368	8.1868	13.2497	1.9333	5.1458	34.7698	392.605	18.5889	41.0367	14.7171	28.1846	86.6344	14.544	11.1888	9.5525	15.8978	32.3396	12.5165	49.8849	34.1307	9.4299	79.5669	5.6225	30.2366	8.9336	42.8235	5.9701	727.399	500.583	735.056	647.863	139.698
GPX4	1996.99	3018.92	4458.05	3575.24	6216.46	2376.45	2831.73	1618.94	3780.3	5027.14	4134.07	5128.85	2468.31	3051.05	3457.64	3314.76	3839.45	2675.83	2974.79	6905.25	5314.37	2455.59	3338.94	2768.32	2635.04	2385.14	2624.43	3803.63	7211.22	2066.17	3581.31	2614.11	3254.57	2850.82	3782.35	3396.23	4579.23	6884.57	5324.57	4317.19	6506.83	4990.86	2129.38	4084.48	2675.57	3819.33	2846.97	1964.32	2272.68	2091.8	4264.78	1991.14	2551.02	2513.65	2851.68	2932.85	3258.75	4280.24	4433.7	3901.43	3164.16	3242.45	4533.96	3670.14	1440.84	3255.16	3067.59	1887.42	2551.98	2008.45	4000.97	2461.12	2468.31	3665.52	4941.85	7561.64	8516.07	2982.6	7241.47	3269.03	9523.11	2648.98	3989.11	3609.6	4560.41	9359.04	971.246	2967.26	2830.01	8588.36000000001	7186.8	3071.91	7495.9	5365	3808.42	2520.96	3648.71	2662.93	2682.12	3472.01	2192.33	1969.42	2001.25	3955.13	2739.14	4293.99	4902.81	3151.44	1784.62	1707.93	2607.24	3801.04	3518.43	2870.9	3170.25	2099.55	2395.96	2929.69	8111.41	5298.86	2814.96	3325.52	2956.52	3990.31	4463.05	4294.59	7743.67	6346.07	3843.41	3222.18	3150.05	4362.7	3294.09	2646.52	4619.42	2943.12	2238.94	2378.29	3984.67	2454.59	5783.38	3211.4	2777.56	2648.62	5331.05	2948.58	3806.15	5549.64	3862.64	3839.32	4964.91	2494.92	3038.92	4062.94	5736.05	4086.33	5732.65	3503.29	3295.47	2737.16	3544.36	2224.11	3616.87	2021.47	2149.08	2628.24	3040.8	3141.71	3112.67	3243.24	3669.23	3087.94
HSPA5	12428.2	20285.9	32136.8	8599.52	19682.9	9705.03000000001	22606	5307.59	12844.2	8843.18	7505.87	8113.96	15671.2	12265.7	9258.73	12175.3	17954.1	9351.66	18516.4	7797.04	9971.54999999999	15479.2	20040.2	26780.2	15167	14062.2	15907.8	15275.3	7625.51	4780.95	11442.3	34339.5	20706.2	10635.1	10806.2	10399.6	8058.82	6333.67	12674.2	12781.8	5350.97	21196	27211.4	11218.6	7480.36	7377.84	11178.8	13002.1	9892.39	22404.4	9850.62	16412	7782.74	7292.32	19950	9923.01	18246.3	15247.8	8782.69000000001	14991.5	12716.8	12101.6	6179.79	18990.3	8744.27	15933.8	15983	17033.3	7187.08	8942.55	11625.3	11956	14908.8	13158.6	7544.29	6662.67	11522.5	7798.4	16811.3	24025.2	10351.7	18877.5	16082.7	19442.8	10306.5	9808.08	15421.7	13856	25500.7	11407.4	12370.6	8215.72	15114.4	10671.6	10182.6	6840.92	6009.74	10547	11455.3	36096	10291.6	9022.83	10741.7	11199.6	9130.89	12386.2	8822.06	17224.8	24347.9	7945.44	5504.46	11176.6	9047.91	10100.4	15510.1	14784.3	20148.6	14012.5	16983.7	20778.1	11193.9	10484.9	10139.8	13477.4	5852.19	14243.9	25894.9	13538.2	9305.57	7934.53	9771.7	11522.7	15615.7	8329.88	18567.2	9741.15	13212.1	7052.25	13933	15488	12700.3	16563.3	24450	19613.3	5544.31	11123.9	10361.6	10234.1	20915.3	16663	14432.7	9011.49	13052.3	11629.4	9637.51	9372.07	10338.9	15214.8	13400.6	10091.1	18255.5	11726	16698.8	17163.5	9408.71	15073.9	13389.6	5009.92	12301.8	4664.04	5587.18	6409.05
HSPB1	2880.24	16344.8	2116.73	4734.29	12498.2	2866.57	4824.45	1173.93	10078.4	5347.41	4047.68	9229.47	3645.14	2856.72	3022.11	4646.92	10818.8	7197.25	3246.09	2569.29	11902.4	6883.6	9623.71	9995.09	6655.86	6137.93	4605.36	5192.64	6973.09	639.098	4193.77	11424.1	7067.96	4014.32	9348.66	7711.43	5564.39	3907.03	9213.83	3817.58	15776.5	7583.14	5319.75	7453.71	7169.41	5732.32	3248.48	3931.79	10269.9	7401.7	3423.72	7784.52	2289.97	4475.19	2315.04	1860.35	6166.76	8536.95000000001	2913.44	10294.6	3686.74	4625.34	4892.98	5061.8	1068.7	10065.7	7238.9	5052.42	7159	4310.68	9581.96	4144.54	13725	6581.67	2513.18	3951.2	7223.65	6657.72	10771.4	7354.58	6971.82	10657.4	7866.47	3833.23	4071.67	6532.67	6009.58	4509.43	2245.68	2782.11	7718.68	2056.86	2787.53	5102.7	5883.16	4313.2	5246.42	4562.62	3868.59	13883.8	1936.7	10177.9	7674.83	5379.12	2538.22	13791.6	6438.71	7458.84	10931.8	3921.14	2790.25	11316	2494.11	2776.64	7696.84	5900.45	6027.87	7126.04	10335.5	16047.4	5308.59	2488.95	2790.83	4688.37	2363.26	3446.21	11847.3	28884.3	3401.24	5978.26	3635.58	4541.48	10567.6	3055.84	6922.87	2481.02	4269.32	5789.66	4198.75	5288.07	12167.6	4012.85	4196.68	11807.3	4728.99	6175.32	3146.68	3472.75	7739.96	10851.6	10691.9	4372.76	3743.32	6794.41	3666.67	3934.42	9363.84	6117.26	8350.73	1895.47	7513.5	4969.4	3915.66	6897.9	4772.75	5965.65	7279.6	1177.69	2536.04	973.367	1587.18	1874.37
