,BRCA-A06N-01A,BRCA-A07S-01A,BRCA-A084-01A,BRCA-A08J-01A,BRCA-A08L-01A,BRCA-A091-01A,BRCA-A094-01A,BRCA-A09Z-01A,BRCA-A0AM-01A,BRCA-A0AS-01A,BRCA-A0BM-01A,BRCA-A0C3-01A,BRCA-A0CG-01A,BRCA-A0CT-01A,BRCA-A0D9-01A,BRCA-A0DC-01A,BRCA-A0DG-01A,BRCA-A0DL-01A,BRCA-A0EP-01A,BRCA-A0FJ-01A,BRCA-A0FS-01A,BRCA-A0HK-01A,BRCA-A0HP-01A,BRCA-A0HW-01A,BRCA-A0J5-01A,BRCA-A0JI-01A,BRCA-A0SB-01A,BRCA-A0SW-01A,BRCA-A0TP-01A,BRCA-A0TT-01A,BRCA-A0TY-01A,BRCA-A0XO-01A,BRCA-A0XR-01A,BRCA-A0XT-01A,BRCA-A0YF-01A,BRCA-A0YJ-01A,BRCA-A0YK-01A,BRCA-A0YT-01A,BRCA-A107-01A,BRCA-A109-01A,BRCA-A12M-01A,BRCA-A13E-01A,BRCA-A155-01A,BRCA-A1AH-01A,BRCA-A1AJ-01A,BRCA-A1AO-01A,BRCA-A1FW-01A,BRCA-A1IP-01A,BRCA-A1JM-01A,BRCA-A1P0-01A,BRCA-A1R2-01A,BRCA-A1XG-01A,BRCA-A1XZ-01A,BRCA-A22A-01A,BRCA-A22B-01A,BRCA-A24Q-01A,BRCA-A25D-01A,BRCA-A2DK-01A,BRCA-A2FG-01A,BRCA-A2FO-01A,BRCA-A2FS-01A,BRCA-A2QI-01A,BRCA-A3IZ-01A,BRCA-A3XW-01A,BRCA-A3Y0-01A,BRCA-A4SA-01A,BRCA-A5IZ-01A,BRCA-A66N-01A,BRCA-A74U-01A,BRCA-A0AU-11A,BRCA-A0AY-11A,BRCA-A0AZ-11A,BRCA-A0B2-11A,BRCA-A0B5-11A,BRCA-A0B7-11A,BRCA-A0B8-11A,BRCA-A0BA-11A,BRCA-A0BC-11A,BRCA-A0BJ-11A,BRCA-A0BM-11A,BRCA-A0BQ-11A,BRCA-A0BS-11A,BRCA-A0BT-11A,BRCA-A0BV-11A,BRCA-A0BW-11A,BRCA-A0BZ-11A,BRCA-A0C0-11A,BRCA-A0C3-11A,BRCA-A0CE-11A,BRCA-A0CH-11A,BRCA-A0D9-11A,BRCA-A0DB-11A,BRCA-A0DC-11A,BRCA-A0DD-11A,BRCA-A0DG-11A,BRCA-A0DH-11A,BRCA-A0DK-11A,BRCA-A0DL-11A,BRCA-A0DO-11A,BRCA-A0DP-11A,BRCA-A0DQ-11A,BRCA-A0DT-11A,BRCA-A0DV-11A,BRCA-A0DZ-11A,BRCA-A0E0-11A,BRCA-A0E1-11A,BRCA-A0H5-11A,BRCA-A0H7-11A,BRCA-A0HA-11A,BRCA-A0HK-11A,BRCA-A13E-11A,BRCA-A13F-11A,BRCA-A13G-11A,BRCA-A153-11A,BRCA-A158-11A,BRCA-A15I-11A,BRCA-A15K-11A,BRCA-A15M-11A,BRCA-A18J-11A,BRCA-A18K-11A,BRCA-A18L-11A,BRCA-A18M-11A,BRCA-A18N-11A,BRCA-A18P-11A,BRCA-A18Q-11A,BRCA-A18R-11A,BRCA-A18S-11A,BRCA-A18U-11A,BRCA-A18V-11A,BRCA-A1BC-11A,BRCA-A1EN-11A,BRCA-A1EO-11A,BRCA-A1EU-11A,BRCA-A1EV-11A,BRCA-A1F2-11A,BRCA-A1FB-11A,BRCA-A1FC-11A,BRCA-A1FN-11A,BRCA-A1FU-11A,BRCA-A1IG-11A,BRCA-A1L7-11A,BRCA-A1LB-11A,BRCA-A1LH-11A,BRCA-A1LS-11A,BRCA-A1N4-11A,BRCA-A1N5-11A,BRCA-A1N6-11A,BRCA-A1N9-11A,BRCA-A1NA-11A,BRCA-A1ND-11A,BRCA-A1NF-11A,BRCA-A1NG-11A,BRCA-A1R7-11A,BRCA-A1RB-11A,BRCA-A1RC-11A,BRCA-A1RD-11A,BRCA-A1RF-11A,BRCA-A1RH-11A,BRCA-A1RI-11A,BRCA-A203-11A,BRCA-A204-11A,BRCA-A208-11A,BRCA-A209-11A,BRCA-A23H-11A,BRCA-A2C8-11A,BRCA-A2C9-11A,BRCA-A2FB-11A,BRCA-A2FF-11A
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.147975491657592,0.0407390165725686,0.0383286890339419,0.272815510985796,0.0344715047195599,0.182564292226896,0.0467858354171067,0.0285289969009647,0.0690980323080712,0.0552735842054433,0.0135999692627575,0.00109029983560666,0.0166791903820301,0.13122873376977,0.0103536356888723,0.0085047758279314,0.0267795848898085,0.00804389659677332,0.0356172799608974,0.0600207284679954,0.178360302441702,0,0.0105835264806944,0.199809086108931,0.0246057268962217,0.430432152392915,0.0241474741559271,0.140402928700412,0.0467098842058118,0.0282835209039306,0.053127865002107,0.0180906562293585,0.0597565509840536,0.0233184528553712,0.0118477872445118,0.0392275293697201,0.0308361017071763,0.0189315672873097,0.00944677738464948,0.0237116450941781,0.0252291266673932,0.0590664887240818,0.0240351830817873,0.0516747442595942,0.0347443640034278,0.025343489211039,1,0.0422184321968726,0.0552735842054433,0.0474330472968807,0.0128447722547215,0.0433758497471451,0.102472603783682,0.0333718469098376,0.0115083513227762,0.0474209970396121,0.022620060867057,0.0161186656183072,0.0165809800773426,0.0134237249426727,0.0288391705028367,0.0277494510163655,0.186598835978728,0.0421546693699217,0.0501265852380685,0.0278969675638566,0.0449961950818661,0.0263150458063791,0.0298396224627674,0.019536389211939,0,0.017502210990608,0.0171745892896352,0,0.0210170003648948,0,0.00176962017570261,0.0104513354263479,0.0167936589159859,0.0152536651714218,0.0380766745232492,0.0170783307995196,0.0115771267207091,0.00988787809991442,0.0230279283931477,0.00144853163536748,0.0107417895152146,0.022279667551464,0.0280866953703081,0.00231988388962358,0,0,0,0,0.00949433573110362,0.00373337377474321,0.0178203903753838,0.00996671803751623,0.0103246963742717,0.00801380340090172,0.00936752510014246,0.0244093152873677,0.0155836060886849,0.0204028194059335,0.00391255506091386,0.0107845086838008,0.0113558275032767,0.00216465157642528,0.0176067923815672,0.0120232224102678,0,0,0,0.0185957171431524,0.0327836221943566,0,0.0116521360228756,0.00969771824547245,0.0179072539770833,0.00978047408388173,0.00661431610011829,0.00884781032230817,0.0184472433324201,0,0.0075862283966627,0.00755970755602913,0.00588631098845459,0.0137972637882663,0.00996508516394981,0,0.00496844875044547,0.000754681177290121,0.0122608861157062,0.0073952058693712,0,0.0169828737528343,0.0146196914384338,0.0156216004315241,0.00876382303237176,0,0.0151565719691949,0.0216892715762637,0.0128531528926011,0,0.0173332612203699,0.029581060681377,0.00824159133223507,0.0112747104002985,0.00756851118064734,0.0107163037641387,0.00281435370874071,0.0048801804122625,0.00073244106543164,0.00847482019897084,0,0,0,0,0,0.0097415165327588,0.00282282414579556,0.0244476380253057,0.0110664855680211,0.00879685771059085,0.0159670729537958,0.01684259408277,0.00674391199925153,0.0242085808424023
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.44296727689865,0.341002016544762,0.364649586434826,0.347620229827128,0.286822159640656,0.364961898630608,0.210700566630333,0.486786713312464,0.324565752584046,0.384892326928444,0.215519245133726,0.2897091188685,0.289593100949786,0.529440834207336,0.476547136342142,0.356955122944388,0.526234391773715,0.731951046704622,0.214889878978486,0.737222614690388,0.262689554306496,0.572208355108448,0.25918836635846,0.550813187667421,0.233235512278095,0.502541653725203,0.721400294046595,0.546331821869547,0.906374224530538,0.499740152529905,0.471258510126938,0.436285293613017,0.341002016544762,0.536203780040063,0.356751777465642,0.724006356234296,0.0778370803462203,0.380137816621352,0.300278001589241,0.39147523345672,0.353195743010049,0.706459292920926,0.461823585169709,0.726666188762918,0.681175205630155,0.160084161579464,0.44963697714883,0.731951046704622,1,0.330415838622061,0.495488235952037,0.491819973687761,0.570637129076669,0.462893077690963,0.434269885734277,0.731951046704622,0.552227617837233,0.223283928776781,0.264757439116191,0.269609715461859,0.251876994327199,0.333123990428194,0.528498628580869,0.584628478818642,0.853709668422377,0.50493545532211,0.680983041689372,0.634819582465159,0.218604631864783,0.141785472865053,0.106772824353531,0.110404911953805,0.125565025482903,0,0.125513326265068,0,0.0806596881935724,0.109910910842173,0.127600605536078,0.163043178403998,0.0984598406991784,0.132856066735773,0.129535973588421,0.0955704274429184,0.128154301686064,0.0176470193464346,0.125431057926401,0.11739039537052,0.208856286377688,0.218396447146614,0,0.229993180280469,0.0271077936160259,0,0.103613164197788,0.166381067057714,0.144114279548353,0.124305088927165,0.119853110845666,0.140209602261238,0.140416287534862,0.0836712024136697,0.113703388831677,0.20715373232743,0.20695687558916,0.148680178325846,0.122942782602334,0.169989796318461,0.113703388831677,0.133481024260449,0,0.147766641059985,0,0.143802654171696,0.0559852227490575,0.0402327753821122,0.201460222570892,0.0835759770969536,0.0986684621023118,0.125254607697631,0.0403734549386284,0.0658167192292999,0.0533677753499245,0.029181593256268,0.100179432535831,0.105326818583168,0.137918284450758,0.117311982353715,0.16693830933106,0,0.0706217899564807,0.0401049857218113,0.103613164197788,0.0880889733757866,0.0345174963919327,0.136438133707037,0.0405764244611397,0.120631329599668,0.114912387847752,0.00525213569053879,0.139882979814739,0.143123695943299,0.1506307994061,0,0.11098874912067,0.129558736522618,0.0958876014018918,0.14300417170138,0.0216976806192419,0.222827930849578,0.257298205932641,0.0415150330267975,0,0.0824396277235426,0,0,0,0,0,0.0514288915353863,0.0141223846628299,0.116360160221022,0.0736891464778362,0.102541249423822,0.56685687174825,0.0964700551368372,0.138075424274471,0.132856066735773
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.654692192154083,0.706226520585496,0.743304528650388,0.717984748251238,0.947831620252746,0.680179075018864,0.865432197491186,0.699324226481554,0.843503374798522,0.829857924324982,0.564072403714817,0.685623614003719,0.55741899280525,0.696298550298967,0.657921522524745,0.600610608696797,0.828036120755392,0.898634944633281,0.806292642932453,0.952149928433771,0.60894887473524,0.610407277465505,0.584743544315342,0.678970679256532,0.751540366498575,0.603193506899388,0.459869713820095,0.796573148112097,0.904887617827395,0.84657666119802,0.673603904713623,0.650305645001307,0.728328516532134,0.787833325493016,0.619849812694514,1,0.524319094323876,0.636248522836184,0.654692192154083,0.771788530161762,0.630741357053005,1,0.640726422698279,1,0.973663855259953,0.908680818298731,0.687457809338601,0.906870122479703,1,0.611438647533639,0.669124318757559,0.801864263392077,0.621022048193801,0.860074154365605,0.765424086526576,1,0.65539786175556,0.742219677378496,0.571409514123089,0.633237831473231,0.687890523613833,0.727053628707424,0.69277126930309,0.774293246550218,0.955398246395272,0.752952196265051,0.918815710848648,0.713611601883797,0.721511521548428,0.505760811905014,0.433147038581988,0.49815974439157,0.438120842946977,0.110243643989898,0.512526616303071,0.179087911032195,0.441143879334448,0.436587308545931,0.474576813340361,0.468584149192208,0.468487327633421,0.473569526031263,0.50960824395521,0.461900354831559,0.862278041463215,0.376957749900089,0.48943041552533,0.492755213176413,0.527366808554162,0.395862818926348,0.261713688072244,0.289129990994081,0.369442659212232,0.281293438535845,0.46508608072135,0.414806735922,0.546750576795366,0.425098165110042,0.464244120958049,0.511478500336794,0.495571722718138,0.509687765879424,0.480561247391847,0.603541548179904,0.513913498715178,0.496741426854263,0.487604471986356,0.51268142796502,0.487227837560124,0.478470212980294,0.304779685966818,0.343704830131132,0,0.548092898790434,0.25945932493367,0.0745427741791272,0.777107780238914,0.413909398612014,0.437226247174015,0.443970197532388,0.389827211608364,0.427851313272524,0.436606784052919,0.0808068885431676,0.47681207042675,0.409408739508575,0.40496520864774,0.479420975289046,0.463559961293734,0.0103539128491351,0.315592452956225,0.298721874607125,0.458454482317103,0.420823107960027,0.216289921146874,0.495571722718138,0.455660646760337,0.43000299231122,0.470707610303607,0.34110988713145,0.510887904806833,0.49151821279314,0.506379024657281,0.0791353150357931,0.487398012665509,0.533757515703789,0.41541589643893,0.513554518683636,0.371235205073795,0.379184044152365,0.328188292684951,0.35021749954703,0.311919039193779,0.300214364939148,0.212198612695345,0.27945806796168,0.23461973239472,0.132585712718586,0.23461973239472,0.376341889405537,0.283372774327665,0.461752195964215,0.406957065472552,0.398709629722452,0.303304644690135,0.452867708836976,0.412072386836574,0.517604067314928
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.346055767813882,0.375851567355365,0.387394093464831,0.397258080313303,0.751242522859183,0.332609976984381,0.488939120545941,0.416656642788508,0.53063734078953,0.427658560962945,0.329150597098263,0.302296222914517,0.395688126394556,0.4268923801527,0.281443384897725,0.386357293480639,0.368998154948987,0.469235365936223,0.325168306794984,1,0.342509521143456,0.37861646399767,0.390295893779116,0.43511295364335,0.38263466130428,0.334777145268366,0.549796206420567,0.4268923801527,0.503226484424625,0.438589681764041,0.626807076796962,0.379277377882335,0.392390071889525,0.315927265238298,0.425442734456037,0.721669069277735,0.283544328565137,0.462573180164498,0.379554658737801,0.437311848453771,0.40107784579578,0.826615110233051,0.40335076991988,0.607478024727954,0.654659964305163,0.471212609403467,0.360547334715502,0.519857209029135,0.572194687000735,0.409759757453457,0.304592456959328,0.319612506068803,0.542058211306779,0.458313458209712,0.455709582086359,0.879210376389818,0.47299679035882,0.344575869141512,0.321090631848631,0.320507189323929,0.370574548222373,0.358227444266586,0.362880777598146,0.34831871541942,0.656713446190475,0.343925140836456,0.557343578860169,0.3548937111134,0.34405602210041,0.255322669330585,0.216975072130305,0.257088310196745,0.290312140210743,0.0296829480063532,0.267253035214864,0.0609554062269792,0.238930612523364,0.25069208589597,0.245752972557798,0.274415294507866,0.270714136595314,0.266503527404516,0.2840135506637,0.260125928968226,0.278667149193352,0.197134699183904,0.260414973430208,0.242891558884283,0.29849603155757,0.192815957274373,0.0703747055615292,0.159974274404947,0.179013586294315,0.0828451005810232,0.248745230737229,0.208140647438145,0.307236668162229,0.238212883020559,0.238790156684159,0.239766682984622,0.284745963642639,0.261724273986926,0.267253035214864,0.376072594674768,0.357563902562699,0.277519526225893,0.248591510281427,0.328792071484238,0.253556173061294,0.275439073098203,0.149986907170358,0.188927697084388,0.0602539604346642,0.269442747104508,0.135022495767087,0.104903034051036,0.190436300036013,0.226126793681679,0.24129499579741,0.229366700847644,0.177343255480282,0.235150158209603,0.225451220152314,0.117888912672416,0.243475006021454,0.203276816810975,0.23131184965634,0.260872854695696,0.236613069639639,0,0.166434539392014,0.16477094022493,0.239746347279956,0.249696433968696,0.143495540366092,0.267253035214864,0.275068900305417,0.261938153353531,0.244511989887845,0.169166257869196,0.282618402003057,0.256727356946855,0.26417309980715,0.0188377639926802,0.253608960680194,0.293687046609061,0.226335203654271,0.272167815259442,0.177363035008136,0.20943838562343,0.1222250960691,0.142047232199729,0.109478146816683,0.138959813114966,0.0573106426310762,0.129141981104716,0.064646524461587,0.0830976818404125,0.080268109733421,0.200204221238042,0.125403690400875,0.241835485921253,0.234488033859346,0.217336747281656,0.139647925502987,0.242024713042711,0.216016489060211,0.330612431184484
KEGG_NITROGEN_METABOLISM,0.182411636310558,0.43273986997506,0.456262974274673,0.27174946546804,0.45340374247452,0.335177545469531,0.270583670941345,0.263893771700149,0.502835821123284,0.486388808898235,0.262195185494305,0.158763691912452,0.252079883693134,0.300105935068802,0.28153762368873,0.32765035027236,0.223803286885505,0.559797144029522,0.23195433871671,0.74397302923561,0.270210073973245,0.285341063697096,0.27377962900045,0.335177545469531,0.234686186875118,0.316907502618159,0.212871838035687,0.269271511607973,0.697500350355453,0.418398097692456,0.261131736929183,0.563679135242168,0.402514129753564,0.292080176267759,0.274178756958379,0.747537797162842,0.226364693175527,0.283521020852434,0.278352180616955,0.27672617929689,0.258490796165883,0.709684234152872,0.283651743893602,0.528419577108871,0.453817866496396,0.42625880219829,0.281820509276762,0.635021378713934,0.677764625231573,0.27125703365617,0.326201862757974,0.467740730082149,0.27487095539808,0.35396108137706,0.34796157188323,0.602025017726474,0.278053039452268,0.256833270589322,0.264458654514799,0.274324196312893,0.323280355280796,0.268717842180026,0.335177545469531,0.39643599562687,1,0.313990892822147,0.294620328583154,0.275233660240684,0.18858130112489,0.228673716437168,0.210749831749403,0.227030453224335,0.214441718261213,0.0980741465359867,0.235306830844889,0.0991570294712271,0.210403075073971,0.231745301969192,0.240815335945326,0.217928845366055,0.215626630743847,0.23208019494482,0.236663263670476,0.212681791089285,0.218228743623312,0.196330141788206,0.236680983496999,0.233226968779411,0.262272492377376,0.184915380723444,0.109132329139987,0.112111934795717,0.203051261201347,0.124536112516773,0.225072612718352,0.2345407195033,0.230460947002409,0.211949150338033,0.233966070824572,0.250861704565451,0.234096457485174,0.229027832413607,0.220887603135999,0.239978976731919,0.23975446253356,0.236986249158824,0.232067337094516,0.236513260477149,0.213834375099862,0.235865522125446,0.162650749372118,0.181291646754435,0.0906264737361946,0.225167998433406,0.152478149764489,0.117929974117037,0.18067543321075,0.17690763891768,0.213218339708596,0.205579840133933,0.202276545274512,0.198735590957653,0.216849746833473,0.134595574144175,0.22486462662917,0.201712337003038,0.204044297990559,0.223204173621962,0.233541738712437,0,0.155228310651313,0.127901646728917,0.23199750002909,0.230241419047927,0.144347569000077,0.223440027905751,0.221132913431908,0.236541357158698,0.216394998463244,0.163509561876362,0.244626442915358,0.223412128984248,0.237959206362942,0.0783342403107862,0.232952726536267,0.222301309429964,0.210417505635578,0.210566462438604,0.184051278132045,0.179595398224168,0.13568410432157,0.180685093725679,0.158269868364804,0.145436113306023,0.108039166429702,0.163418713277994,0.12222950792187,0.123039320785005,0.118681246879954,0.196271405963428,0.129815560891276,0.216918250108112,0.219946562201313,0.206262690718812,0.0912233166494235,0.220079990911455,0.21133393431593,0.224917228483355
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.60293049353194,0.565547084453078,0.600505086760092,0.664997154763447,0.674350159007142,0.344562555111197,0.730313479814953,0.579856012507649,0.734280299935834,0.679730814836769,0.416359170190134,0.549208015865404,0.529368621108852,0.574654141836574,0.454753357565445,0.509245240604819,0.571140310400135,0.746067601971079,0.286700406664708,0.651637492982974,0.547466751639255,0.541926445698535,0.586476923747792,0.50721152385967,0.547466751639255,0.527809739723152,0.430004991619914,0.695042750605013,0.66210484890132,0.632243994528958,0.717172893505761,0.569856726946822,0.532519575285976,0.428005234435214,0.523995366916613,1,0.40813803478168,0.72216115325926,0.560342022058342,0.683279456780662,0.577938740945359,0.991813466947976,0.620537183641424,0.86657018010276,0.754727391247122,0.644371470600891,0.634160885425864,0.716723009739269,0.842933641968058,1,0.534432397598935,0.598021485985536,0.839600521639258,0.701485220620513,0.723606330059404,0.882200428914094,0.608613656846171,0.33269928022855,0.510487919973376,0.497785897940065,0.487135439769766,0.528776600639265,0.531116409603409,0.320862761975393,0.751387918172809,0.306664670053309,0.688863700992199,0.517728976481638,0.368929316666524,0.406917533934895,0.342108187427645,0.367945735933174,0.410655676964842,0.257415888240675,0.425933679580731,0.221180354601278,0.317880390114254,0.371285074714261,0.427054413310638,0.401179199857976,0.416180278355697,0.437594708316341,0.415791004614551,0.391290530280651,0.383762808352647,0.302620836733031,0.412097526232373,0.39557586955442,0.386178935473737,0.300222561261427,0.224875150353552,0.237689617820963,0.321448829741329,0.195119200188665,0.399550552682278,0.344722158482298,0.477171848657815,0.371713282208926,0.376794080169979,0.373727884850306,0.399550552682278,0.404000845122331,0.42276039510581,0.432292518656648,0.457694053510304,0.437594708316341,0.377315249267443,0.444251981993758,0.422839540730748,0.346333608139727,0.266105081976491,0.327126394996738,0.179672807730575,0.396897240224941,0.230754277678545,0.186493564854004,0.26057038395776,0.255122218182678,0.377693575142797,0.379488558435611,0.307493164622442,0.317297529195028,0.327014889006708,0.241844261740849,0.357819211533157,0.326106858228481,0.339339322431662,0.341087741913814,0.344654855642103,0.256449735973513,0.304133999466339,0.276272150235863,0.340837620219101,0.293634182007983,0.244913656415863,0.387092060012362,0.349022164604849,0.379980268546613,0.398532457018376,0.284235482767534,0.410400916750129,0.441832400893851,0.429461122769302,0.239439837510117,0.431365735622343,0.452620404068277,0.351468932399485,0.386218965227688,0.343703648091231,0.329043534960781,0.22082060138331,0.254450569824332,0.221171971843044,0.290229783706721,0.212192600125482,0.239439837510117,0.193577121104955,0.231062489433204,0.166419201641785,0.313897596606334,0.202518911402311,0.411110261012312,0.35234943026678,0.329806917879696,0,0.275172071308017,0.321452481968029,0.455365509006938
KEGG_DNA_REPLICATION,0.519215418734631,0.53556252827583,0.593318333074405,0.571422163733069,0.773177483602454,0.414904724455828,0.585369515082332,0.472720425066137,0.601328155569437,0.334002675439363,0.419269200741996,0.458990787592365,0.448438199421941,0.617801292839199,0.388688590140898,0.444168919947015,0.480345347746176,0.654147751036133,0.483657103133703,0.795114130488738,0.484762020729482,0.457096953074774,0.505158326966118,0.531714599646242,0.388210573269818,0.539919699825289,0.451391571488718,0.616333876878061,0.742509318789455,0.536278704250886,0.716881860898273,0.473224097098808,0.621790865885906,0.469839320417414,0.56994982072957,0.622019599640486,0.443077152228395,0.612629683527662,0.685588644654444,0.687949101019011,0.417463125685082,0.692503409366136,0.559878470585058,1,0.760839686089655,0.482944281517737,0.551613291321237,0.637267905103366,0.833651709330736,0.539098175050191,0.468917494331628,0.449389445303294,0.689255574859046,0.521596255583037,0.415578424149113,0.748969119001641,0.577953291036823,0.450729471830501,0.477718081410772,0.413204924998725,0.526560922372861,0.468919979952478,0.51682154294185,0.504290412305256,0.813362225415847,0.515399666492421,0.772516519691775,0.492307746002702,0.488350541781766,0.389464650548723,0.319766309048573,0.327674272220962,0.347202672901511,0.137563450552386,0.406953784544233,0.155097786829203,0.336288396939677,0.375812097334538,0.372998286467283,0.40159623362788,0.374593085758206,0.420035630764053,0.388999096123758,0.320784847724493,0.437026156565685,0.248006049747396,0.356966248506617,0.365473846071509,0.404279118875431,0.284097010421243,0.165244100773302,0.253714988919687,0.278344631347066,0.174565178680274,0.363044018715968,0.357461255875967,0.348777295975339,0.342340735241758,0.358138372462876,0.350268745080316,0.355311638204921,0.369889378046626,0.333134317749197,0.515938450438291,0.413294436139443,0.405330149542927,0.341962446404908,0.460715706861553,0.407472301039908,0.342666142472199,0.210303000353237,0.287592992090957,0.165915458745374,0.331362718444434,0.237361625008258,0.228981958426171,0.298254931234336,0.251198949978022,0.33778714824699,0.313713877364043,0.284346671384516,0.32279371014913,0.28989970795068,0.262224838180179,0.343836374789213,0.32279371014913,0.314070626461318,0.376548723916343,0.380293668536665,0.210234917486965,0.262734250860147,0.273645573762205,0.308695844088891,0.365233155026669,0.258107568435033,0.351797439364282,0.337384661538273,0.367751068856438,0.348858132243905,0.271870934946989,0.393818004196819,0.421388334766489,0.394325452516471,0.198451208030426,0.40489496724144,0.513458166479096,0.369076494503805,0.357953837783916,0.298485871561409,0.410498089904528,0.179882556714738,0.237716373172564,0.203284368272383,0.32883425180563,0.183348954624982,0.232336045240583,0.165758929305019,0.226475351941652,0.142346250252084,0.293506537034607,0.194518225665457,0.347439075193309,0.304031886141141,0.311975541916413,0,0.29437672945149,0.32780538282596,0.447654154537299
KEGG_NON_HOMOLOGOUS_END_JOINING,0.679501184460223,0.756032525674165,0.788411764016633,0.761416127992746,1,0.634828008356089,0.83350546902512,0.725742027627595,0.867045896868909,0.774016527951078,0.381548395282414,0.643764836602777,0.671379315027757,0.916876248884936,0.622210580463338,0.702203687584332,0.759611117460962,0.824077668478143,0.216470592169675,0.949841684201279,0.649889764545992,0.639654115503823,0.67928531964444,0.745007330353043,0.737496276208573,0.756663717058846,0.689477769150471,0.781074299650219,1,0.685632695021541,0.85735162062012,0.694183163089988,0.774016527951078,0.681697786270274,0.758524721864236,1,0.63178082401034,0.803271688126607,0.828857251607296,0.770504479952755,0.620131609926206,0.778295134574532,0.830394082221157,0.925931569218524,0.826638966950784,0.763755715638582,0.784049366920803,0.808442209984845,1,0.670758358172278,0.660257974637663,0.733256949072184,0.764642959453057,0.795759030445056,0.763285079231848,0.936806695156049,0.738041902280131,0.348136737888156,0.710864492512944,0.674497225387438,0.748726330945205,0.703530367445977,0.67237746619911,0,0.974699442036052,0.186838982740791,0.959245987652499,0.0589651225005475,0.16752545138561,0.626003328091312,0.574880967190741,0.581970622049661,0.53063418561138,0.451215051180742,0.632620170564157,0.442102700757309,0.596678891499138,0.65030086333624,0.65234105214628,0.667883626277047,0.609225294947429,0.663134015784066,0.616339966702955,0.578918798684494,0.66762589332868,0.514316480903559,0.596391165801119,0.618397931186414,0.661163869409954,0.338811011632902,0.435267368748365,0.447048707822026,0.515900237351258,0.454087599991607,0.604328454873008,0.317548525644551,0.586473212149964,0.578655721437057,0.614713590594815,0.610219586344449,0.604916543912864,0.592747651489241,0.578700161563366,0.142995868546346,0.619509683848764,0.667170322330846,0.59889579773906,0.700458359823353,0.632620170564157,0.4803540403464,0.473458868180926,0.447713157556515,0.482915361275593,0.602041898844319,0.451215051180742,0.489886348986887,0.173165342478436,0.488984904947165,0.615143048557362,0.583337102428416,0.505594675598434,0.552571483273062,0.570158738036013,0.54498879652399,0.58293286654215,0.565887724420945,0.554471682760223,0.596545888126901,0.2720803211518,0.514361239661563,0.521845800062434,0.410768302654575,0.583337102428416,0.566949114047691,0.503754050797214,0.583337102428416,0.530029892339325,0.557742492583291,0.605127225145074,0.486724647435353,0.650965884192897,0.654591971477246,0.625494569250142,0.4859289813377,0.642060855943557,0.712154127470938,0.599609365423605,0.645074462168671,0.570374797388116,0.277107100827336,0.461493566003448,0.50031847561403,0.51262181340541,0.557065648764739,0.479204931163886,0.490911527656697,0.482558885088107,0.480388326266116,0.473458868180926,0.559818082735125,0.451215051180742,0.602405548202312,0.549849155180597,0.520689541187624,0.410768302654575,0.478723784806493,0.504226494845664,0.677821693477248
