Sample	seurat_clusters	Run	Group
Tum_877_WT	6	R2	WT
Tum_877_WT	1	R2	WT
Tum_877_WT	2	R2	WT
Tum_685_KO	2	R2	KO
Tum_877_WT	1	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	5	R2	WT
Tum_877_WT	17	R2	WT
Tum_685_KO	1	R2	KO
Tum_877_WT	1	R2	WT
Tum_685_KO	7	R2	KO
Tum_877_WT	9	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	4	R2	WT
Tum_685_KO	16	R2	KO
Tum_685_KO	1	R2	KO
Tum_877_WT	3	R2	WT
Tum_685_KO	3	R2	KO
Tum_685_KO	3	R2	KO
Tum_877_WT	2	R2	WT
Tum_877_WT	9	R2	WT
Tum_685_KO	3	R2	KO
Tum_877_WT	0	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	9	R2	WT
Tum_877_WT	9	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	12	R2	WT
Tum_685_KO	5	R2	KO
Tum_685_KO	2	R2	KO
Tum_877_WT	4	R2	WT
Tum_685_KO	5	R2	KO
Tum_877_WT	3	R2	WT
Tum_877_WT	5	R2	WT
Tum_877_WT	6	R2	WT
Tum_877_WT	7	R2	WT
Tum_877_WT	5	R2	WT
Tum_685_KO	4	R2	KO
Tum_877_WT	0	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	3	R2	WT
Tum_685_KO	4	R2	KO
Tum_877_WT	2	R2	WT
Tum_877_WT	5	R2	WT
Tum_877_WT	2	R2	WT
Tum_685_KO	2	R2	KO
Tum_877_WT	0	R2	WT
Tum_685_KO	11	R2	KO
Tum_685_KO	2	R2	KO
Tum_877_WT	5	R2	WT
Tum_877_WT	3	R2	WT
Tum_877_WT	4	R2	WT
Tum_877_WT	3	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	9	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	2	R2	WT
Tum_685_KO	15	R2	KO
Tum_685_KO	0	R2	KO
Tum_877_WT	2	R2	WT
Tum_877_WT	12	R2	WT
Tum_877_WT	13	R2	WT
Tum_877_WT	6	R2	WT
Tum_877_WT	7	R2	WT
Tum_685_KO	4	R2	KO
Tum_877_WT	6	R2	WT
Tum_877_WT	3	R2	WT
Tum_877_WT	6	R2	WT
Tum_877_WT	6	R2	WT
Tum_877_WT	9	R2	WT
Tum_685_KO	7	R2	KO
Tum_877_WT	3	R2	WT
Tum_685_KO	1	R2	KO
Tum_877_WT	6	R2	WT
Tum_685_KO	4	R2	KO
Tum_685_KO	5	R2	KO
Tum_685_KO	6	R2	KO
Tum_877_WT	3	R2	WT
Tum_877_WT	3	R2	WT
Tum_877_WT	15	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	4	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	1	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	6	R2	WT
Tum_685_KO	2	R2	KO
Tum_877_WT	3	R2	WT
Tum_877_WT	0	R2	WT
Tum_877_WT	4	R2	WT
Tum_685_KO	8	R2	KO
Tum_877_WT	4	R2	WT
Tum_877_WT	6	R2	WT
Tum_685_KO	6	R2	KO
Tum_877_WT	6	R2	WT
Tum_877_WT	10	R2	WT
Tum_877_WT	2	R2	WT
Tum_685_KO	16	R2	KO
Tum_877_WT	6	R2	WT
Tum_877_WT	6	R2	WT
Tum_877_WT	7	R2	WT
Tum_877_WT	14	R2	WT
Tum_685_KO	2	R2	KO
Tum_685_KO	3	R2	KO
Tum_877_WT	0	R2	WT
Tum_685_KO	15	R2	KO
Tum_877_WT	11	R2	WT
Tum_877_WT	1	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	6	R2	WT
Tum_685_KO	10	R2	KO
Tum_685_KO	4	R2	KO
Tum_685_KO	0	R2	KO
Tum_877_WT	9	R2	WT
Tum_877_WT	7	R2	WT
Tum_685_KO	3	R2	KO
Tum_685_KO	4	R2	KO
Tum_685_KO	0	R2	KO
Tum_877_WT	5	R2	WT
Tum_877_WT	2	R2	WT
Tum_685_KO	3	R2	KO
Tum_685_KO	1	R2	KO
Tum_685_KO	4	R2	KO
Tum_685_KO	0	R2	KO
Tum_685_KO	3	R2	KO
Tum_877_WT	0	R2	WT
Tum_877_WT	5	R2	WT
Tum_877_WT	4	R2	WT
Tum_877_WT	6	R2	WT
Tum_877_WT	13	R2	WT
Tum_685_KO	8	R2	KO
Tum_877_WT	17	R2	WT
Tum_685_KO	1	R2	KO
Tum_877_WT	5	R2	WT
Tum_877_WT	9	R2	WT
Tum_877_WT	2	R2	WT
Tum_877_WT	4	R2	WT
Tum_877_WT	3	R2	WT
Tum_877_WT	7	R2	WT
Tum_877_WT	12	R2	WT
Tum_877_WT	0	R2	WT
Tum_685_KO	0	R2	KO
